techno;name;environment;selectors;min;max;patterns;type;classification
Java;Spring Roo;import;;;;org.springframework.roo;pattern;
Java;SuanShu;import;;;;com.numericalmethod.suanshu;pattern;
Java;VRaptor;import;;;;br.com.caelum.vraptor;pattern;
Java;Spring Data Neo4j;import;;;;org.springframework.data.neo4j;pattern;
Java;WSO2 Message Broker;import;;;;org.wso2.carbon.mb;pattern;
Java;ControlsFX;import;;;;org.controlsfx;pattern;
Java;PI4J;import;;;;com.pi4j;pattern;
Java;Spring Core;import;;;;org.springframework.core;pattern;
Java;DOM4J;import;;;;org.dom4j;pattern;
Java;Apache Mina;import;;;;org.apache.mina;pattern;
Java;Java WordNet Library (JWNL);import;;;;net.sf.extjwnl;pattern;
Java;Apache BookKeeper;import;;;;Apache BookKeeper;pattern;
Java;Apache Samza;import;;;;org.apache.samza;pattern;
Java;Spring Boot;import;;;;org.springframework.boot;pattern;
Java;Jasper Reports;import;;;;net.sf.jasperreports;pattern;
Java;Apache Hadoop;import;;;;org.apache.hadoop;pattern;
Java;LiquiBase;import;;;;liquibase;pattern;
Java;Axon;import;;;;org.axonframework;pattern;
Java;The Lightweight Java Game Library (LWJGL);import;;;;org.lwjgl;pattern;
Java;JogAmp;import;;;;com.jogamp;pattern;
Java;JMonkeyEngine;import;;;;com.projectdarkstar.ext.com.jmonkeyengine;pattern;
Java;AppFuse;import;;;;org.appfuse;pattern;
Java;GeoTools;import;;;;org.geotools;pattern;
Java;Spring Hateoas;import;;;;org.springframework.hateoas;pattern;
Java;Apache Spark;import;;;;org.apache.spark;pattern;
Java;Vertx;import;;;;io.vertx;pattern;
Java;Quasar;import;;;;co.paralleluniverse;pattern;
Java;Apache Sling;import;;;;org.apache.sling;pattern;
Java;Commons Math;import;;;;org.apache.commons.math3;pattern;
Java;Apache Jena;import;;;;org.apache.jena;pattern;
Java;Easy Rules;import;;;;org.jeasy.rules;pattern;
Java;OpenRules;import;;;;com.openrules;pattern;
Java;Jodd;import;;;;jodd;pattern;
Java;IText;import;;;;com.itextpdf;pattern;
Java;ScribeJava;import;;;;com.github.scribejava;pattern;
Java;Apache OODT;import;;;;org.apache.oodt;pattern;
Java;JavAssist;import;;;;javassist;pattern;
Java;Play;import;;;;play;pattern;
Java;OpenNLP;import;;;;opennlp;pattern;
Java;JAXR;import;;;;java.xml.registry;pattern;
Java;HSQLDB;maven;org.hsqldb;;;;version;
Java;FreeMarker;maven;org.freemarker;;;;version;
Java;SLF4J;maven;org.slf4j;;;;version;
